raw_process,process_canonical,process_family,mapping_notes
SLM,SLM,slm,
SLS,SLS,sls,
SLA,SLA,sla,
FDM,FDM,fdm,
Forming and assembly,Forming and Assembly,forming_and_assembly,canonical spacing and casing
